title,category,skill,date,link
Google Summer Internship,Internship,"Python, C++, Problem Solving",2026-05-15,https://careers.google.com
Microsoft Internship Program,Internship,"C#, Azure, Web Development",2026-06-01,https://careers.microsoft.com
Amazon Software Development Internship,Internship,"Java, AWS, Databases",2026-05-30,https://www.amazon.jobs
Facebook Product Management Internship,Internship,"Product Strategy, Analytics",2026-06-15,https://www.facebookcareers.com
Apple Engineering Internship,Internship,"Swift, iOS Development",2026-05-20,https://www.apple.com/careers
LinkedIn Data Science Internship,Internship,"Python, Machine Learning, SQL",2026-07-01,https://careers.linkedin.com
Uber Engineering Internship,Internship,"Backend, Distributed Systems",2026-06-10,https://www.uber.com/careers
Netflix Frontend Internship,Internship,"React, JavaScript, Web Design",2026-06-05,https://jobs.netflix.com
Adobe Design Internship,Internship,"UX Design, Figma, Adobe XD",2026-05-25,https://adobe.com/careers
IBM Research Internship,Internship,"Machine Learning, AI, Python",2026-07-15,https://www.ibm.com/careers
HackerRank Coding Challenge,Competition,"Data Structures, Algorithms",2026-08-30,https://www.hackerrank.com
Google Kickstart,Competition,"Competitive Programming",2026-09-15,https://www.kickstart.withgoogle.com
AWS AI ML Hackathon,Hackathon,"Machine Learning, AWS",2026-08-20,https://www.aws.amazon.com/events
Microsoft Imagine Cup,Competition,"Innovation, Technology",2026-10-31,https://imaginecup.microsoft.com
ICPC Programming Contest,Competition,"C++, Algorithms, Problem Solving",2026-11-15,https://icpc.global
