scheme_name,state,education,income_limit,age_min,age_max,link
PM Scholarship for Meritorious Students,All India,12th,600000,18,25,https://scholarships.ssa.nic.in
Atal Bihari Vajpayee Scholarship,All India,UG,500000,18,28,https://scholarships.gov.in
Maharaja Sayajirao Gaekwad Scholarship,Gujarat,UG,400000,18,25,https://www.scholarships.gov.in
Delhi Merit Scholarship,Delhi,10th,450000,16,22,https://scholarships.delhigovt.nic.in
Tamil Nadu Merit Scholarship,Tamil Nadu,12th,300000,17,23,https://scholarships.tn.gov.in
Karnataka National Scholarship,Karnataka,UG,350000,18,26,https://scholarships.karnataka.gov.in
Maharashtra National Scholarship,Maharashtra,12th,400000,17,24,https://scholarships.mh.gov.in
Rajasthan Palanhar Scholarship,Rajasthan,UG,250000,18,28,https://scholarships.rajasthan.gov.in
West Bengal Merit Scholarship,West Bengal,10th,300000,16,22,https://scholarships.wb.gov.in
Andhra Pradesh National Scholarship,Andhra Pradesh,UG,500000,18,26,https://scholarships.ap.gov.in
Punjab Merit Scholarship,Punjab,12th,350000,17,25,https://scholarships.punjab.gov.in
Haryana National Scholarship,Haryana,10th,400000,16,23,https://scholarships.haryana.gov.in
Uttar Pradesh Scholarship,Uttar Pradesh,12th,300000,17,24,https://scholarships.up.gov.in
Madhya Pradesh Merit Scholarship,Madhya Pradesh,UG,400000,18,27,https://scholarships.mp.gov.in
Post Matric Scholarship Scheme,All India,UG,250000,18,28,https://scholarships.gov.in
